Order ID,Order Date,Day,Country,City,Lat,Lng,Full Name,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Total Cost,Status
1,01/01/2023,Mon,Syria,homs,34.7326,36.7136,Lina Alrrashid,Tablet,Apple iPad,"iPad Pro 12.9""",N498,4,999,38.3616,891.9072,FALSE
2,01/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Omar Eurul,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,X918,3,1199,517.968,302.148,TRUE
3,01/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Iman Iismaeil,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5,I036,4,1299,883.32,831.36,TRUE
4,01/01/2023,Mon,United Arab Emirates,abu dhabi,24.4539,54.3773,Ahmad Rihan,Tablet,Samsung Galaxy Tab,Galaxy Tab A8,E804,6,199,33.3126,129.549,TRUE
5,01/01/2023,Wed,USA,washington,38.9072,-77.0369,Sami Altawil,Headphones,Sennheiser HD,Sennheiser HD 450BT,Q149,4,129,11.2617,111.3657,TRUE
6,01/01/2023,Mon,Syria,aleppo,36.2021,37.1343,Ahed Salim,Smartwatch,Garmin Fenix,Garmin Fenix 6S,J431,2,499,232.1847,138.3228,TRUE
7,01/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Amira Alrahil,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,S190,3,3499,2203.6702,197.3436,TRUE
8,01/01/2023,Mon,Egypt,cairo,30.0444,31.2357,Muhamad Bitahish,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,R389,3,99,74.4876,47.0448,FALSE
9,01/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Fadi Aljabaan,Laptop,HP Envy,Envy x360,I974,4,899,359.6,881.02,TRUE
10,01/01/2023,Mon,USA,washington,38.9072,-77.0369,Zahir Almunajid,Smart Speaker,Apple HomePod,Apple HomePod mini,R236,3,99,598.3956,672.1704,TRUE
